Date;CPI;Core CPI
1955 Q1;5,607456;
1955 Q2;5,670213;
1955 Q3;5,749932;
1955 Q4;5,882231;
1956 Q1;5,917942;
1956 Q2;6,041683;
1956 Q3;6,018113;
1956 Q4;6,073109;
1957 Q1;6,143818;
1957 Q2;6,1831;
1957 Q3;6,267558;
1957 Q4;6,34416;
1958 Q1;6,365765;
1958 Q2;6,462008;
1958 Q3;6,387371;
1958 Q4;6,469864;
1959 Q1;6,50129;
1959 Q2;6,440402;
1959 Q3;6,422725;
1959 Q4;6,469864;
1960 Q1;6,471828;
1960 Q2;6,511111;
1960 Q3;6,520932;
1960 Q4;6,589676;
1961 Q1;6,625031;
1961 Q2;6,707525;
1961 Q3;6,791983;
1961 Q4;6,868584;
1962 Q1;6,937427;
1962 Q2;7,08513;
1962 Q3;7,05282;
1962 Q4;7,050512;
1963 Q1;7,154366;
1963 Q2;7,195907;
1963 Q3;7,145134;
1963 Q4;7,198215;
1964 Q1;7,262835;
1964 Q2;7,396691;
1964 Q3;7,454388;
1964 Q4;7,521316;
1965 Q1;7,590551;
1965 Q2;7,779796;
1965 Q3;7,814414;
1965 Q4;7,865187;
1966 Q1;7,922883;
1966 Q2;8,075202;
1966 Q3;8,100588;
1966 Q4;8,165209;
1967 Q1;8,209058;
1967 Q2;8,280602;
1967 Q3;8,236753;
1967 Q4;8,338298;
1968 Q1;8,455998;
1968 Q2;8,656782;
1968 Q3;8,700632;
1968 Q4;8,804485;
1969 Q1;8,982191;
1969 Q2;9,122971;
1969 Q3;9,141433;
1969 Q4;9,256826;
1970 Q1;9,432223;9,851236
1970 Q2;9,658394;10,11923
1970 Q3;9,766863;10,27748
1970 Q4;9,969954;10,48154
1971 Q1;10,24228;10,73566
1971 Q2;10,60923;11,0931
1971 Q3;10,75463;11,24513
1971 Q4;10,88848;11,36607
1972 Q1;11,05696;11,51969
1972 Q2;11,26466;11,75854
1972 Q3;11,44929;11,94109
1972 Q4;11,72854;12,25413
1973 Q1;11,93394;12,39181
1973 Q2;12,31474;12,7981
1973 Q3;12,50168;13,01464
1973 Q4;12,93325;13,36132
1974 Q1;13,46976;13,71509
1974 Q2;14,27096;14,5554
1974 Q3;14,6295;14,90571
1974 Q4;15,28462;15,52004
1975 Q1;16,20533;16,11086
1975 Q2;17,73689;17,7199
1975 Q3;18,51595;18,5849
1975 Q4;19,15336;19,22543
1976 Q1;19,84389;19,72745
1976 Q2;20,56983;20,42581
1976 Q3;21,04346;20,93114
1976 Q4;22,01286;21,66117
1977 Q1;23,11948;22,74828
1977 Q2;24,15085;23,76651
1977 Q3;24,53153;24,27764
1977 Q4;24,89007;24,78008
1978 Q1;25,31501;25,25711
1978 Q2;26,00554;25,96804
1978 Q3;26,45704;26,48706
1978 Q4;26,90412;27,03448
1979 Q1;27,74072;27,75956
1979 Q2;28,75881;28,76631
1979 Q3;30,68433;30,5873
1979 Q4;31,54749;31,46911
1980 Q1;33,03479;33,07262
1980 Q2;34,95588;35,03959
1980 Q3;35,70395;35,68074
1980 Q4;36,36792;36,40979
1981 Q1;37,23108;37,05622
1981 Q2;39,04594;38,9188
1981 Q3;39,72319;39,38192
1981 Q4;40,69701;40,42441
1982 Q1;41,37426;41,02947
1982 Q2;42,69778;42,32589
1982 Q3;42,89255;42,52068
1982 Q4;43,20683;42,68816
1983 Q1;43,42815;42,8329
1983 Q2;44,31345;43,86425
1983 Q3;44,88446;44,428
1983 Q4;45,38908;44,8886
1984 Q1;45,66795;45,08098
1984 Q2;46,59308;46,04916
1984 Q3;47,00032;46,6895
1984 Q4;47,58461;47,38555
1985 Q1;48,18103;47,91203
1985 Q2;49,84003;49,67616
1985 Q3;49,96228;49,988
1985 Q4;50,20676;50,33023
1986 Q1;50,55603;50,71563
1986 Q2;51,21963;51,69672
1986 Q3;51,27202;51,83527
1986 Q4;51,93562;52,61452
1987 Q1;52,5643;53,17338
1987 Q2;53,36761;54,10796
1987 Q3;53,48985;54,41036
1987 Q4;54,06614;55,0913
1988 Q1;54,26761;55,31389
1988 Q2;55,34849;56,77704
1988 Q3;55,79575;57,69566
1988 Q4;56,42937;59,12181
1989 Q1;56,9139;60,08346
1989 Q2;58,21841;61,73515
1989 Q3;58,6284;62,40652
1989 Q4;59,56019;63,68734
1990 Q1;60,26836;64,74881
1990 Q2;62,16921;68,02333
1990 Q3;63,06374;69,0957
1990 Q4;64,21915;70,09705
1991 Q1;64,48006;70,64555
1991 Q2;67,38725;71,87545
1991 Q3;67,87179;72,17742
1991 Q4;68,72903;73,00249
1992 Q1;68,98994;73,41042
1992 Q2;70,25717;75,19673
1992 Q3;70,10809;75,34665
1992 Q4;70,59262;75,58366
1993 Q1;70,62989;74,73314
1993 Q2;71,97167;75,93974
1993 Q3;72,12076;76,28459
1993 Q4;72,26984;76,75132
1994 Q1;72,30712;76,7287
1994 Q2;73,388;77,97678
1994 Q3;73,35072;77,97598
1994 Q4;73,53709;78,66396
1995 Q1;74,13343;79,1226
1995 Q2;75,21431;80,67173
1995 Q3;75,32613;80,86809
1995 Q4;75,73611;81,05158
1996 Q1;76,1461;81,16692
1996 Q2;77,00336;82,16396
1996 Q3;77,0779;82,27474
1996 Q4;77,56243;83,01329
1997 Q1;77,56243;82,79173
1997 Q2;78,27059;83,67799
1997 Q3;78,56876;83,75185
1997 Q4;78,97875;84,56425
1998 Q1;78,82967;84,19498
1998 Q2;79,68692;85,04431
1998 Q3;79,64964;84,85967
1998 Q4;80,09691;85,52438
1999 Q1;80,05963;85,08124
1999 Q2;80,84234;85,78287
1999 Q3;80,65598;85,41359
1999 Q4;80,99142;85,85672
2000 Q1;80,65598;85,1551
2000 Q2;81,36414;85,74594
2000 Q3;81,2896;85,41359
2000 Q4;81,8114;86,07829
2001 Q1;81,36414;85,5613
2001 Q2;82,55684;86,6322
2001 Q3;82,59411;86,74298
2001 Q4;82,63139;87,11226
2002 Q1;82,59411;86,92762
2002 Q2;83,33955;87,77695
2002 Q3;83,41409;87,92467
2002 Q4;83,86135;88,55244
2003 Q1;83,86135;88,29395
2003 Q2;84,38316;88,88479
2003 Q3;84,53224;89,03249
2003 Q4;85,01677;89,47562
2004 Q1;84,94223;89,25406
2004 Q2;85,57585;89,88183
2004 Q3;85,61312;89,91876
2004 Q4;86,20947;90,43575
2005 Q1;86,35855;90,36189
2005 Q2;87,21581;91,1743
2005 Q3;87,66306;91,54357
2005 Q4;88,07305;91,839
2006 Q1;88,03578;91,61743
2006 Q2;89,22848;92,28213
2006 Q3;89,78755;92,54062
2006 Q4;90,45844;93,3161
2007 Q1;90,57026;93,20531
2007 Q2;91,46478;94,05465
2007 Q3;91,39024;94,05465
2007 Q4;92,3593;94,68242
2008 Q1;92,73202;94,387
2008 Q2;94,5956;95,4579
2008 Q3;95,75102;96,01182
2008 Q4;95,86284;96,23338
2009 Q1;95,5274;95,82718
2009 Q2;96,571;96,97193
2009 Q3;97,20462;97,67356
2009 Q4;97,91278;98,33826
2010 Q1;98,65822;98,67061
2010 Q2;99,92545;99,92615
2010 Q3;100,2236;100,3324
2010 Q4;101,1927;101,0709
2011 Q1;102,6836;101,8464
2011 Q2;104,3235;103,1758
2011 Q3;104,9199;103,5451
2011 Q4;105,9262;104,2836
2012 Q1;106,2617;104,3944
2012 Q2;107,1189;105,4284
2012 Q3;107,4171;105,7607
2012 Q4;108,7589;106,9424
2013 Q1;109,2061;106,7947
2013 Q2;109,9888;107,6809
2013 Q3;110,3615;107,9764
2013 Q4;111,0324;108,8257
2014 Q1;111,1442;108,5303
2014 Q2;111,9269;109,712
2014 Q3;111,9642;109,8597
2014 Q4;112,0388;110,2659
2015 Q1;111,2561;109,8966
2015 Q2;111,8897;110,5982
2015 Q3;112,0015;111,0044
2015 Q4;112,1506;111,6691
2016 Q1;111,6288;111,2999
2016 Q2;112,2624;112,0015
2016 Q3;112,7842;112,5185
2016 Q4;113,4924;113,2201
2017 Q1;114,0514;113,2939
2017 Q2;115,3559;114,808
2017 Q3;115,9523;115,4357
